,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender,State Count
83,4/18/2022 20:58:00,10-15 years,Senior Manager,2-5 years,51.92,108000,"25,000",31-40,CA,White,Man,1
339,4/21/2022 14:18:07,2-5 years,Technical Expert,2-5 years,26.64,"$56,560","$2,500",21-30,CA,White,Man,1
208,4/19/2022 22:43:07,2-5 years,Genius,2-5 years,32.0,"$60,000.00","$2,000.00",21-30,CA,I choose not to disclose,I choose not to disclose,1
323,4/21/2022 12:05:52,2-5 years,Lead Genius,2-5 years,35.03,"$72,846","$3,578",31-40,CA,White,Man,1
381,4/22/2022 0:30:23,2-5 years,Technical Expert,0-1 years,25.25,"36,000",1500,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
294,4/21/2022 3:44:31,10-15 years,service voice for aos,2-5 years,24.0,"53,000","$1,500",51-60,CA,Black or African American,Man,1
199,4/19/2022 19:09:22,2-5 years,Lead,0-1 years,30.5,"$63,000","$2,000",21-30,CA,Asian,Man,1
307,4/21/2022 9:25:19,10-15 years,Genius Admin,0-1 years,29.0,"$60,000","$2,500",31-40,CA,I choose not to disclose,Man,1
409,4/22/2022 11:40:39,10-15 years,Specialist,2-5 years,22.99,47820,"$1,500",31-40,AZ,White,Woman,1
593,4/30/2022 21:46:54,2-5 years,Expert,0-1 years,22.7,47000,1000,21-30,AZ,White,Transgender,1
550,4/26/2022 20:51:49,6-10 years,Genius,2-5 years,26.0,"50,000","2,000",21-30,AZ,Hispanic or Latino or Spanish Origin of any race,Woman,1
353,4/21/2022 18:48:41,6-10 years,t2 technical support aha,6-8 years,22.9,46716,2000,21-30,AZ,White,Man,1
392,4/22/2022 8:13:05,6-10 years,Genius,6-8 years,24.4,50741,2000,31-40,AR,White,Man,1
195,4/19/2022 17:17:02,6-10 years,Operations Expert,2-5 years,30.97,"$64,000.00","$2,500.00",21-30,CA,White,Man,1
462,4/23/2022 0:08:54,10-15 years,Genius,9-11 years,27.89,"$58,000","$2,000",31-40,FL,White,Non-binary / non-conforming,1
418,4/22/2022 12:14:07,6-10 years,Lead,9-11 years,24.0,IDK,"$4,500",21-30,CA,I choose not to disclose,I choose not to disclose,1
164,4/19/2022 11:09:10,2-5 years,Pro,2-5 years,28.0,"$53,000.00","$1,500.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
23,4/18/2022 15:26:46,2-5 years,Genius,2-5 years,27.29,"$28,000.00","$2,000.00",21-30,CA,I choose not to disclose,Man,1
24,4/18/2022 15:31:52,6-10 years,Tech and Merchandising Pro,2-5 years,29.57,"$60,000.00","$2,000.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
656,5/24/2022 19:51:36,6-10 years,Genius,0-1 years,27.0,"56,000","2,000",31-40,CA,White,Woman,1
654,5/23/2022 11:49:29,2-5 years,ux designer ,2-5 years,76.92,160000,70000,31-40,CA,White,Man,1
28,4/18/2022 15:47:52,2-5 years,Specialist,2-5 years,23.23,"$49,000.00",-,21-30,CA,Black or African American,Man,1
232,4/20/2022 9:26:27,6-10 years,Lead Genius,0-1 years,34.0,"$71,000.00","$2,500.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming,1
645,5/16/2022 4:14:32,0-1 years,Specialist,0-1 years,22.5,"$33,000",-,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
251,4/20/2022 15:54:01,2-5 years,Expert,2-5 years,25.02,"$45,000","2,500.00",21-30,CA,Black or African American,Non-binary / non-conforming,1
639,5/12/2022 21:20:34,6-10 years,designer,2-5 years,52.16,"$108,500/year ",-,21-30,CA,White,Man,1
293,4/21/2022 3:03:09,10-15 years,Genius,9-11 years,32.0,"$67,572","$3,000",31-40,CA,I choose not to disclose,I choose not to disclose,1
35,4/18/2022 16:04:55,2-5 years,Tech and Merchandising Pro,2-5 years,31.83,"$66,000.00","$2,317.14",31-40,CA,White,Man,1
256,4/20/2022 16:35:17,2-5 years,Specialist,2-5 years,26.14,"$27,480","$1,500",21-30,CA,Black or African American,Woman,1
210,4/19/2022 22:59:03,10-15 years,Operations Lead,2-5 years,34.0,"$72,000.00","$2,000.00",31-40,CA,White,Man,1
372,4/21/2022 22:34:39,2-5 years,Genius,0-1 years,28.51,29900,2000,21-30,CA,Asian,Man,1
76,4/18/2022 19:53:32,16-20 years,quality program manager,9-11 years,52.71,"$110,000.00",3000,31-40,CA,White,Man,1
502,4/24/2022 19:55:45,2-5 years,Expert,0-1 years,25.0,"$48,000","$1,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
483,4/23/2022 19:45:17,10-15 years,Technical Specialist,9-11 years,23.0,"$23,000","$1,500",51-60,CA,White,Woman,1
482,4/23/2022 19:33:09,2-5 years,Specialist,2-5 years,20.0,"22,000",1000,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
473,4/23/2022 13:39:20,2-5 years,Genius Admin,0-1 years,29.0,"$52,000","$2,500",21-30,CA,White,Woman,1
67,4/18/2022 19:15:04,2-5 years,account manager,2-5 years,44.76,"$93,000.00","$2,000",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
467,4/23/2022 4:01:46,2-5 years,Expert,0-1 years,24.78,25780,"$1,500",21-30,CA,White,Man,1
181,4/19/2022 13:50:32,6-10 years,Genius,2-5 years,28.8,"$59,000.00","$2,200.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
239,4/20/2022 12:17:24,6-10 years,Genius,0-1 years,27.9,"$54,000.00","$2,500.00",31-40,CA,White,Man,1
453,4/22/2022 21:16:58,10-15 years,Operations Specialist,6-8 years,26.97,"USD $56,090","USD $1,500",41-50,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
126,4/19/2022 0:44:04,6-10 years,resource operations analyst,0-1 years,29.0,"$560,000.00","$2,000.00",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
365,4/21/2022 21:03:17,6-10 years,Lead Genius,2-5 years,31.73,63460,3000,31-40,CA,White,Man,1
440,4/22/2022 17:53:59,2-5 years,Operations Specialist,2-5 years,23.5,"$24,439","$1,784.53",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
369,4/21/2022 21:57:17,2-5 years,Genius,0-1 years,31.65,"$65,832","$2,000",21-30,CA,White,Woman,1
469,4/23/2022 6:57:39,6-10 years,is&t helpline analyst,2-5 years,27.5,59800,2000,21-30,CA,White,Man,1
610,5/2/2022 11:01:07,2-5 years,Technical Expert,2-5 years,23.01,"$47,000","$2,000",51-60,FL,White,Woman,1
457,4/22/2022 22:45:08,10-15 years,Genius,6-8 years,27.4,"57,174","2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
615,5/3/2022 18:01:24,2-5 years,Technical Specialist,2-5 years,20.0,"33,000","1,500",21-30,FL,Black or African American,Man,1
614,5/3/2022 0:03:33,2-5 years,Pro,0-1 years,27.25,"$56,600","$2,000",31-40,MN,White,Man,1
650,5/18/2022 21:14:59,6-10 years,Genius,6-8 years,26.74,55618,"$2,561",21-30,MN,White,Man,1
124,4/19/2022 0:04:49,2-5 years,Operations Specialist,2-5 years,21.59,"$27,000.00",-,21-30,MN,White,Woman,1
523,4/25/2022 20:12:31,10-15 years,Lead Genius,2-5 years,33.47,"$69,610",3429.72,31-40,MN,I choose not to disclose,Man,1
494,4/24/2022 12:57:56,2-5 years,ga,0-1 years,23.12,"45,000",unsure,21-30,MI,White,Woman,1
351,4/21/2022 17:59:54,2-5 years,Expert,0-1 years,23.0,24000,Unknown ,21-30,MI,White,Man,1
345,4/21/2022 16:00:07,2-5 years,Expert,0-1 years,25.0,51000,2500,21-30,MI,Black or African American,Man,1
492,4/24/2022 7:04:48,6-10 years,Genius,2-5 years,23.75,"$49,400","$2,500",21-30,MI,White,Man,1
471,4/23/2022 9:26:39,16-20 years,senior customer service ,0-1 years,25.28,"$52,572","$2,000",41-50,MI,White,Woman,1
120,4/18/2022 23:45:12,2-5 years,Operations Specialist,0-1 years,20.25,"$42,120.00","$2,000.00",21-30,MI,White,Woman,1
617,5/4/2022 20:29:47,2-5 years,Technical Specialist,0-1 years,21.18,"$44,505",Unsure,21-30,ME,White,Woman,1
310,4/21/2022 9:42:29,2-5 years,Creative,2-5 years,24.43,"52,714","$2,000",21-30,MD,Hispanic or Latino or Spanish Origin of any race,Woman,1
95,4/18/2022 21:31:28,0-1 years,Technical Specialist,0-1 years,20.0,"$20,800.00",$0.00,21-30,MD,Black or African American,Woman,1
692,6/18/2022 22:13:53,2-5 years,Manager,0-1 years,43.27,"$90,000",0,41-50,MN,I choose not to disclose,I choose not to disclose,1
407,4/22/2022 11:27:33,2-5 years,Pro,2-5 years,23.0,"48,000","3,000",31-40,MD,I choose not to disclose,Woman,1
454,4/22/2022 22:14:16,2-5 years,Operations Specialist,0-1 years,21.76,"$45,240","$1,500",31-40,MD,White,Man,1
105,4/18/2022 22:07:12,6-10 years,Creative Pro,2-5 years,25.38,"$52,700.00","$3,000.00",21-30,MD,Black or African American,Woman,1
85,4/18/2022 21:02:24,2-5 years,Genius,0-1 years,26.39,"$27,000",1500,21-30,MD,Black or African American,Woman,1
81,4/18/2022 20:55:08,6-10 years,Creative,2-5 years,24.0,$49.92,"$1,000",31-40,MD,White,Man,1
142,4/19/2022 7:03:22,6-10 years,Operations Specialist,2-5 years,23.5,"$48,000.00","$1,500.00",31-40,MD,White,Transgender,1
401,4/22/2022 10:47:36,2-5 years,Tech and Merchandising Pro,0-1 years,26.5,55120,2500,31-40,MD,I choose not to disclose,I choose not to disclose,1
84,4/18/2022 20:58:29,0-1 years,Technical Specialist,0-1 years,20.0,"$20,000",$0,18-20,MD,White,Man,1
588,4/30/2022 1:15:59,10-15 years,Creative Pro,2-5 years,27.36,"$56,888","$2,000",31-40,MD,White,Man,1
315,4/21/2022 10:06:39,2-5 years,Specialist,2-5 years,21.96,"$46,000","$1,600",21-30,MD,White,Man,1
641,5/13/2022 0:20:58,10-15 years,Genius,2-5 years,28.0,"$60,000","$2,000",31-40,MD,I choose not to disclose,I choose not to disclose,1
320,4/21/2022 11:00:33,2-5 years,Lead Genius,2-5 years,34.0,"$72,000","$3,000",21-30,MD,Native Hawaiian or Other Pacific Islander,Man,1
410,4/22/2022 11:43:45,10-15 years,Genius,12+ years,32.5,"75,000","$2,000",31-40,MD,White,Man,1
113,4/18/2022 22:40:39,2-5 years,Technical Expert,0-1 years,24.13,"$50,189.00","$2,500.00",21-30,MA,White,Woman,1
420,4/22/2022 12:23:39,10-15 years,Genius,9-11 years,32.0,"66,500",2000,31-40,MD,I choose not to disclose,I choose not to disclose,1
472,4/23/2022 13:35:24,2-5 years,Expert,2-5 years,24.08,"46,000- $48,000 with overtime",2000,21-30,MA,White,Woman,1
679,6/6/2022 13:19:50,2-5 years,Genius,2-5 years,29.5,42000,2500,21-30,MN,Black or African American,Man,1
681,6/8/2022 13:57:18,2-5 years,Technical Expert,0-1 years,22.5,"$46,799","$1,500",21-30,MO,White,Transgender,1
549,4/26/2022 19:53:55,6-10 years,ft aha mac+,6-8 years,20.68,"$42,993","$4,424",31-40,NM,Hispanic or Latino or Spanish Origin of any race,Man,1
31,4/18/2022 15:57:50,6-10 years,Genius,2-5 years,28.28,"$59,000.00","$1,000.00",21-30,NJ,White,Man,1
14,4/18/2022 14:53:26,2-5 years,Technical Specialist,0-1 years,20.79,"$43,000.00","$1,500.00",21-30,NJ,Hispanic or Latino or Spanish Origin of any race,Man,1
511,4/25/2022 10:48:55,2-5 years,Expert,0-1 years,26.48,55k before taxes ,"3,000",21-30,NJ,Asian,Woman,1
524,4/25/2022 21:26:00,2-5 years,Genius Admin,2-5 years,22.98,"$58,000","$2,500",21-30,NJ,White,Woman,1
103,4/18/2022 22:05:59,10-15 years,Lead Genius,6-8 years,36.52,"$75,952.00","$3,000.00",31-40,NJ,White,Man,1
313,4/21/2022 9:50:22,2-5 years,Technical Expert,0-1 years,26.08,"$54,000","$1,500",21-30,NJ,White,Man,1
63,4/18/2022 18:28:15,2-5 years,Genius,2-5 years,29.0,"$59,000.00","$2,500",21-30,NJ,White,Man,1
252,4/20/2022 16:01:13,2-5 years,Creative Pro,0-1 years,27.5,"$56,000","$1,500",21-30,NJ,Hispanic or Latino or Spanish Origin of any race,Woman,1
566,4/28/2022 11:52:52,2-5 years,Technical Specialist,0-1 years,22.87,"$35,000","$2,200",21-30,NJ,White,Man,1
616,5/3/2022 21:42:58,2-5 years,Genius,0-1 years,25.0,55000,3000,21-30,NJ,White,Woman,1
22,4/18/2022 15:24:34,0-1 years,Specialist,0-1 years,20.0,"$22,000.00",-,18-20,NH,White,Woman,1
595,5/1/2022 3:35:18,6-10 years,Genius,0-1 years,27.0,"$54,600","$2,000",31-40,NH,Hispanic or Latino or Spanish Origin of any race,Man,1
383,4/22/2022 1:37:29,2-5 years,Creative Pro,0-1 years,23.56,0,0,21-30,MO,Hispanic or Latino or Spanish Origin of any race,Woman,1
281,4/20/2022 22:37:17,6-10 years,Manager,2-5 years,33.41,"$69,493","$16,500",21-30,NH,White,Man,1
398,4/22/2022 10:43:22,2-5 years,Lead,2-5 years,29.0,"60,000",2500,21-30,NH,White,Man,1
317,4/21/2022 10:19:35,10-15 years,Lead Genius,2-5 years,31.14,"$77,500",3000,31-40,NH,White,Man,1
447,4/22/2022 19:36:33,6-10 years,Creative Pro,12+ years,29.0,"$61,000","$2,000",31-40,NC,White,Man,1
400,4/22/2022 10:45:31,6-10 years,Genius Admin,2-5 years,24.42,"50,801","2,000",21-30,NC,White,Woman,1
86,4/18/2022 21:04:22,6-10 years,Business Expert,0-1 years,25.9,"$53,893","$2,000",51-60,NC,White,Woman,1
305,4/21/2022 9:10:31,2-5 years,Technical Expert,2-5 years,24.0,"$49,500","$2,000",21-30,NC,Hispanic or Latino or Spanish Origin of any race,Man,1
284,4/20/2022 23:27:44,6-10 years,Genius,0-1 years,28.15,"$46,841",3500,21-30,NC,White,Man,1
646,5/16/2022 11:14:18,6-10 years,iops cat advisor,9-11 years,26.99,"56,000",2000,51-60,NC,White,Woman,1
354,4/21/2022 19:05:25,2-5 years,Genius,0-1 years,27.4,57000,2000,21-30,NC,White,Man,1
663,5/26/2022 10:13:46,2-5 years,Pro,2-5 years,28.0,"$58,000","$2,000",21-30,NC,Hispanic or Latino or Spanish Origin of any race,Man,1
82,4/18/2022 20:56:52,6-10 years,Business Expert,0-1 years,25.9,"$53,893","$2,000",51-60,NC,White,Woman,1
699,7/8/2022 23:23:14,6-10 years,Genius,2-5 years,25.24,"$52,000","$2,000",31-40,MO,Hispanic or Latino or Spanish Origin of any race,Man,1
683,6/8/2022 15:30:02,0-1 years,Technical Specialist,0-1 years,20.0,"$29,000",$0,21-30,MO,Hispanic or Latino or Spanish Origin of any race,Man,1
127,4/19/2022 0:54:52,6-10 years,Genius,2-5 years,25.08,"$51,200.00","$1,500.00",21-30,NH,White,Man,1
411,4/22/2022 11:50:16,2-5 years,Genius Admin,2-5 years,22.0,"$36,000",2000,21-30,WI,White,Woman,1
513,4/25/2022 12:33:25,10-15 years,Business Pro,2-5 years,36.0,"74,000","$2,000",41-50,MA,White,Man,1
451,4/22/2022 20:12:31,16-20 years,Lead Genius,9-11 years,39.4,81941,3000,31-40,MA,White,Man,1
638,5/12/2022 8:02:29,10-15 years,Manager,2-5 years,38.0,91000,12000,31-40,GA,White,Man,1
131,4/19/2022 1:45:17,2-5 years,Technical Expert,0-1 years,23.0,"$47,000.00","$5,000.00",31-40,GA,I choose not to disclose,I choose not to disclose,1
629,5/9/2022 11:54:04,6-10 years,Pro,2-5 years,27.68,"$57,567","$2,000",31-40,GA,White,Man,1
357,4/21/2022 19:39:58,2-5 years,Technical Expert,2-5 years,24.0,"$24,000","$6,500",21-30,GA,Black or African American,Woman,1
561,4/27/2022 21:36:23,2-5 years,Genius,0-1 years,24.0,"$49,000","$2,000",21-30,GA,White,Man,1
514,4/25/2022 13:50:31,2-5 years,Operations Specialist,2-5 years,21.23,"$44,149","$1,500",21-30,GA,White,Non-binary / non-conforming,1
525,4/25/2022 22:03:22,0-1 years,Specialist,0-1 years,20.0,"41,000",Na,21-30,GA,Black or African American,Man,1
96,4/18/2022 21:35:14,6-10 years,Genius Admin,2-5 years,24.32,"$50,000.00","$3,000.00",21-30,GA,Black or African American,Woman,1
465,4/23/2022 1:22:43,6-10 years,Pro,6-8 years,25.25,"53,000",2500,31-40,FL,White,Man,1
37,4/18/2022 16:16:25,10-15 years,Technical Expert,2-5 years,27.76,"$57,720.00",1500?,31-40,FL,I choose not to disclose,Man,1
150,4/19/2022 9:11:13,2-5 years,Specialist,2-5 years,20.62,"$42,948.00","$1,500.00",21-30,FL,Black or African American,Man,1
568,4/28/2022 13:54:05,10-15 years,Specialist,9-11 years,24.33,"$50,605 USD",$3500 USD,31-40,FL,Black or African American,Woman,1
552,4/26/2022 22:31:43,2-5 years,Creative Pro,0-1 years,25.88,53830,"$2,000.00",21-30,FL,White,Man,1
138,4/19/2022 4:20:18,6-10 years,People Operations Planner,0-1 years,26.0,"$54,075.00","$2,000.00",31-40,GA,White,Woman,1
402,4/22/2022 10:47:42,6-10 years,Technical Expert,2-5 years,26.83,"$55,804","$2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
64,4/18/2022 18:36:37,10-15 years,Genius,6-8 years,28.99,"$60,288.00","$2,000",31-40,FL,Asian,Man,1
422,4/22/2022 12:41:29,10-15 years,applecare senior specialist,2-5 years,26.31,"$54,707","$2,000",31-40,FL,White,Woman,1
431,4/22/2022 14:37:53,6-10 years,Lead Genius,0-1 years,34.15,"$71,030","$2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Woman,1
643,5/14/2022 0:03:46,6-10 years,Lead,2-5 years,33.71,"$70,096","$3,000",41-50,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
436,4/22/2022 16:54:40,6-10 years,Genius Admin,2-5 years,24.0,"$25,025","$2,000",31-40,FL,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming,1
520,4/25/2022 19:15:29,10-15 years,Genius Admin,2-5 years,25.69,"$53,000","$2,000",31-40,FL,White,Woman,1
464,4/23/2022 0:40:45,2-5 years,Technical Specialist,0-1 years,22.4,"$30,000","$4,806",21-30,FL,I choose not to disclose,Woman,1
519,4/25/2022 17:46:11,2-5 years,Specialist,2-5 years,20.32,"$42,262",1500,21-30,FL,White,Woman,1
517,4/25/2022 16:04:08,6-10 years,Genius Admin,2-5 years,23.14,"48,131 USD",2000 USD,21-30,FL,Black or African American,Woman,1
125,4/19/2022 0:36:09,6-10 years,Technical Specialist,2-5 years,22.51,"$39,000.00","$2,500.00",21-30,FL,Black or African American,Woman,1
452,4/22/2022 20:20:59,2-5 years,Genius,0-1 years,26.0,"$54,079","$2,000",31-40,FL,Black or African American,Woman,1
594,4/30/2022 21:53:21,2-5 years,Specialist,2-5 years,21.93,"$33,684 USD",$1500 USD,21-30,FL,Hispanic or Latino or Spanish Origin of any race,Woman,1
558,4/27/2022 11:08:22,6-10 years,Genius,2-5 years,28.19,"$29,310","$3,000",31-40,FL,White,Man,1
152,4/19/2022 9:41:57,2-5 years,Specialist,2-5 years,22.75,"$22,993.00","$3,000.00",21-30,FL,Hispanic or Latino or Spanish Origin of any race,Man,1
690,6/14/2022 9:43:28,0-1 years,Specialist,0-1 years,21.5,"$44,720",Not sure,21-30,MA,Asian,Man,1
32,4/18/2022 15:59:36,6-10 years,t2 max+ advisor,0-1 years,26.74,"$55,625.00","$2,000.00",21-30,GA,White,Transgender,1
532,4/25/2022 23:38:30,2-5 years,Genius Admin,2-5 years,22.92,47682,2000,21-30,IA,White,Man,1
689,6/14/2022 9:23:31,2-5 years,Specialist,2-5 years,23.0,"24,000",2000,31-40,MA,Black or African American,Man,1
155,4/19/2022 10:01:09,10-15 years,Genius,9-11 years,29.76,"$30,950.00","$2,000.00",21-30,MA,White,Woman,1
192,4/19/2022 16:44:13,10-15 years,Business Pro,6-8 years,30.12,"$62,631.00","$1,500.00",31-40,MA,White,Man,1
688,6/14/2022 9:19:39,6-10 years,Operations Specialist,0-1 years,23.0,"$47,800","$2,000",31-40,MA,White,Man,1
258,4/20/2022 16:48:54,6-10 years,Genius,2-5 years,27.0,"$54,000","$2,000",21-30,MA,White,Man,1
280,4/20/2022 22:20:55,2-5 years,Expert,2-5 years,24.9,"$51,771","$2,000",21-30,MA,White,Woman,1
194,4/19/2022 17:16:35,2-5 years,Lead,0-1 years,32.1,"$66,765.00","$2,500.00",21-30,MA,Black or African American,Woman,1
685,6/9/2022 23:32:12,2-5 years,Technical Specialist,0-1 years,21.0,"$43,000","$1,250",21-30,KY,White,Woman,1
578,4/28/2022 23:15:01,2-5 years,Technical Expert,2-5 years,22.7,"47,000","5,836",21-30,KY,Hispanic or Latino or Spanish Origin of any race,Woman,1
302,4/21/2022 8:58:53,2-5 years,Lead Genius,2-5 years,28.76,"$60,000",2000,31-40,KY,White,Man,1
397,4/22/2022 10:13:07,2-5 years,Lead,2-5 years,31.51,"$65,540.00","$3,000",21-30,IN,Hispanic or Latino or Spanish Origin of any race,Man,1
308,4/21/2022 9:35:52,2-5 years,Genius Admin,0-1 years,23.11,"$48,000","$2,000",21-30,IN,Hispanic or Latino or Spanish Origin of any race,Man,1
187,4/19/2022 14:50:34,6-10 years,Operations Lead,0-1 years,31.0,"$64,500.00",Unsure,31-40,IL,White,Woman,1
700,7/9/2022 16:49:34,2-5 years,Technical Expert,2-5 years,28.13,No idea ,"$1,500",21-30,HI,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming,1
432,4/22/2022 14:50:20,10-15 years,Genius,9-11 years,28.91,"$60,020","$2,000",31-40,IL,Hispanic or Latino or Spanish Origin of any race,Woman,1
374,4/21/2022 23:10:26,2-5 years,Specialist,2-5 years,21.8,"$42,000","$1,000",21-30,IL,Hispanic or Latino or Spanish Origin of any race,Woman,1
312,4/21/2022 9:47:44,6-10 years,Genius,2-5 years,27.0,"57,000","3,000",31-40,IL,Hispanic or Latino or Spanish Origin of any race,Woman,1
171,4/19/2022 12:18:53,6-10 years,Specialist,2-5 years,26.9,"25,000 USD","$2,500.00",51-60,IL,White,Woman,1
362,4/21/2022 20:27:04,0-1 years,Specialist,0-1 years,21.0,"$21,700",0,18-20,IL,White,Man,1
443,4/22/2022 19:14:44,2-5 years,Business Expert,0-1 years,24.47,"$52,500","$1,500",21-30,IL,White,Man,1
370,4/21/2022 22:14:43,10-15 years,Genius,6-8 years,28.5,"$60,000","$3,000",41-50,IL,White,Man,1
355,4/21/2022 19:06:39,6-10 years,Technical Expert,6-8 years,26.51,"$27,566","$1,000",31-40,IL,White,Woman,1
547,4/26/2022 17:57:15,2-5 years,Specialist,2-5 years,21.91,"$30,000","$1,000",31-40,IL,White,Man,1
240,4/20/2022 12:21:17,6-10 years,Tech and Merchandising Pro,2-5 years,27.33,"$69,000.00","$2,000.00",21-30,IL,White,Man,1
233,4/20/2022 9:59:17,10-15 years,Genius Admin,2-5 years,26.62,"$55,351.00","$2,500.00",31-40,IL,White,Man,1
221,4/20/2022 0:49:49,0-1 years,Specialist,0-1 years,21.0,"$25,000.00",$0.00,21-30,IL,Hispanic or Latino or Spanish Origin of any race,Man,1
607,5/1/2022 20:10:36,2-5 years,Technical Specialist,0-1 years,22.07,"$23,000","$1,500",21-30,IL,Hispanic or Latino or Spanish Origin of any race,Man,1
348,4/21/2022 17:32:13,0-1 years,Specialist,0-1 years,22.0,"$48,000",$0,21-30,IA,White,Man,1
391,4/22/2022 7:54:20,6-10 years,Genius,2-5 years,27.92,"$58,052","$2,000",31-40,IL,White,Man,1
107,4/18/2022 22:19:22,6-10 years,Genius,2-5 years,22.15,"$46,000.00",-,21-30,WI,White,Man,1
