,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender
449,4/22/2022 19:45:00,2-5 years,Technical Specialist,0-1 years,23.9,"$36,000","$1,500",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
306,4/21/2022 9:17:31,6-10 years,Genius Admin,2-5 years,25.5,"$51,000","2,000",21-30,NY,White,Woman
542,4/26/2022 16:31:43,6-10 years,Genius,2-5 years,33.0,"$68,640","$3,000",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man
430,4/22/2022 14:27:15,2-5 years,Lead,0-1 years,37.0,$78,"$3,000",21-30,NY,White,Woman
344,4/21/2022 15:18:52,2-5 years,Genius,0-1 years,29.01,"$60,200","$2,000",21-30,NY,Asian,I choose not to disclose
455,4/22/2022 22:20:26,2-5 years,Expert,0-1 years,22.93,22.91,"47,648",21-30,NY,Black or African American,Woman
352,4/21/2022 18:04:59,10-15 years,Manager,2-5 years,48.35,"$96,700","$20,000",31-40,NY,Black or African American,Man
341,4/21/2022 14:46:13,2-5 years,Genius,0-1 years,29.62,"$30,000","$2,000",21-30,NY,Asian,Woman
512,4/25/2022 10:54:59,2-5 years,Pro,2-5 years,28.0,"$58,239",1500,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
522,4/25/2022 20:00:33,6-10 years,Genius,2-5 years,31.58,$66.00,$2.00,41-50,NY,Hispanic or Latino or Spanish Origin of any race,Man
510,4/25/2022 8:47:29,2-5 years,Operations Specialist,2-5 years,24.15,"$34,000","$1,000",31-40,NY,White,Man
359,4/21/2022 20:00:35,10-15 years,Pro,2-5 years,24.84,"$51,677","$2,000",31-40,NY,White,Man
538,4/26/2022 14:43:47,2-5 years,Pro,0-1 years,29.97,"$62,272","$2,500",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
495,4/24/2022 13:30:22,2-5 years,Genius,0-1 years,29.01,52000,"1,500",21-30,NY,Black or African American,Woman
479,4/23/2022 18:07:46,2-5 years,Specialist,2-5 years,23.5,"$49,000","15,000",21-30,NY,Black or African American,Woman
475,4/23/2022 14:41:38,2-5 years,Specialist,2-5 years,23.2,"$25,000","$1,500",21-30,NY,White,Man
468,4/23/2022 5:15:24,2-5 years,Operations Specialist,2-5 years,24.74,"US$51,465",I do not know. ,31-40,NY,White,Man
346,4/21/2022 16:14:48,2-5 years,Operations Expert,0-1 years,27.0,"56,177",2000,21-30,NY,White,Man
389,4/22/2022 7:05:30,6-10 years,Technical Specialist,6-8 years,23.0,"$24,440",$0,21-30,NY,Asian,Man
460,4/22/2022 22:56:29,2-5 years,Genius,0-1 years,27.9,"$58,032","$2,500",21-30,NY,I choose not to disclose,Man
487,4/23/2022 22:18:04,6-10 years,Specialist,6-8 years,24.71,"$25,694","$1,500",41-50,NY,White,Woman
299,4/21/2022 7:33:42,6-10 years,Tech and Merchandising Pro,2-5 years,31.0,-,-,31-40,NY,I choose not to disclose,I choose not to disclose
0,4/18/2022 0:28:54,10-15,Manager,6-7,48.7,"$101,000.00"," $ 24,000.00 ",31-40,NY,Asian,Man
200,4/19/2022 19:50:27,2-5 years,Technical Specialist,2-5 years,23.0,"$23,000.00","$2,500.00",21-30,NY,Black or African American,Woman
68,4/18/2022 19:25:46,2-5 years,Technical Expert,2-5 years,25.06,"$52,100.00",N/a,21-30,NY,Black or African American,Woman
65,4/18/2022 18:51:43,6-10 years,Genius,2-5 years,31.53,"$63,000.00","8,000",21-30,NY,Black or African American,Woman
179,4/19/2022 12:53:23,2-5 years,Tech and Merchandising Pro,0-1 years,29.88,"$62,131.00",$1500 USD,21-30,NY,Black or African American,Woman
61,4/18/2022 18:08:18,6-10 years,Genius Admin,2-5 years,28.27,"$59,000.00","$2,000",31-40,NY,Black or African American,Man
184,4/19/2022 14:35:59,10-15 years,Operations Lead,0-1 years,35.0,"$72,000.00","$2,000.00",31-40,NY,Black or African American,Woman
188,4/19/2022 15:05:31,10-15 years,Operations Specialist,6-8 years,25.96,"$26,992.00","$3,600.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man
189,4/19/2022 15:08:07,2-5 years,Operations Specialist,2-5 years,24.16,"$50,251.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
190,4/19/2022 15:20:50,2-5 years,Genius Admin,0-1 years,26.52,"$55,143.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
197,4/19/2022 18:34:11,0-1 years,Operations Specialist,0-1 years,23.0,"$23,920",0,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
170,4/19/2022 12:06:21,0-1 years,Operations Specialist,0-1 years,23.0,"$23,920.00",?,31-40,NY,White,Man
198,4/19/2022 18:53:09,6-10 years,Lead Genius,2-5 years,38.5,"75,000",2509,31-40,NY,Hispanic or Latino or Spanish Origin of any race,Transgender
201,4/19/2022 20:32:12,16-20 years,People Operations Planner,12+ years,33.81,"$70, 323","$2,000.00",41-50,NY,Black or African American,Woman
202,4/19/2022 20:42:51,2-5 years,Operations Specialist,2-5 years,23.89,"$24,841.00","$1,500.00",21-30,NY,I choose not to disclose,Woman
205,4/19/2022 21:42:43,6-10 years,Genius,2-5 years,30.57,"$62,500.00","$4,000.00",21-30,NY,White,Man
55,4/18/2022 17:31:09,10-15 years,Genius,6-8 years,30.0,"$63,000.00",2000,31-40,NY,Black or African American,Man
206,4/19/2022 22:10:19,6-10 years,Specialist,6-8 years,24.59,"$25,000.00",N/a,31-40,NY,Black or African American,Man
54,4/18/2022 17:29:08,6-10 years,Specialist,2-5 years,24.0,"$49,919.00",-,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
51,4/18/2022 17:22:05,10-15 years,Operations Lead,2-5 years,35.77,"$74,397.00",3000,31-40,NY,White,Woman
207,4/19/2022 22:30:48,6-10 years,Operations Specialist,2-5 years,23.0,"$44,160.00","$3,000.00",41-50,NY,Black or African American,Man
46,4/18/2022 16:49:11,2-5 years,Genius,0-1 years,30.67,"$61,000.00","$2,000",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
216,4/19/2022 23:58:01,6-10 years,Genius,0-1 years,30.97,"$64,425.00","$2,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
121,4/18/2022 23:48:17,6-10 years,Technical Expert,2-5 years,26.29,"$58,148.00","$2,000.00",21-30,NY,White,Man
169,4/19/2022 11:58:55,2-5 years,Operations Specialist,2-5 years,24.38,"$50,707.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
167,4/19/2022 11:27:55,2-5 years,Operations Specialist,2-5 years,24.42,"$28,500.00","$1,800.00",21-30,NY,White,Man
115,4/18/2022 23:11:30,2-5 years,Genius Admin,2-5 years,27.1,"$28,184.00",$0.00,31-40,NY,White,Woman
122,4/18/2022 23:52:11,6-10 years,Expert,2-5 years,28.0,"$58,000.00","$2,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
123,4/19/2022 0:20:19,10-15 years,Genius,2-5 years,30.37,"$63,000.00","$2,000.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman
112,4/18/2022 22:40:05,10-15 years,Creative Pro,0-1 years,32.16,"$67,000.00","$2,000.00",31-40,NY,White,Woman
110,4/18/2022 22:26:08,2-5 years,Specialist,2-5 years,24.01,36k,N/a,31-40,NY,Black or African American,Man
106,4/18/2022 22:15:04,10-15 years,Creative Pro,2-5 years,34.01,"$70,000.00","$2,000.00",31-40,NY,Asian,Man
104,4/18/2022 22:06:27,10-15 years,Pro,2-5 years,33.85,"$70,396.00","$5,000.00",31-40,NY,Asian,Woman
102,4/18/2022 22:03:49,6-10 years,Expert,6-8 years,29.26,"$61,000.00","$2,000.00",41-50,NY,I choose not to disclose,I choose not to disclose
97,4/18/2022 21:43:05,6-10 years,Expert,0-1 years,27.86,"$55,000.00","$1,500.00",21-30,NY,Asian,Man
140,4/19/2022 6:47:41,6-10 years,Genius Admin,0-1 years,27.17,-,"$2,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
144,4/19/2022 7:36:54,6-10 years,Manager,0-1 years,40.8,"$85,000.00","$3,500.00",21-30,NY,Asian,Woman
93,4/18/2022 21:23:04,6-10 years,Creative,6-8 years,28.45,"$59,154","$2,000",31-40,NY,Asian,Man
92,4/18/2022 21:22:08,6-10 years,Genius,6-8 years,32.5,"$66,000","$2,000",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
91,4/18/2022 21:21:06,10-15 years,Creative Pro,2-5 years,32.57,"$62,534.40","$2,317.14",51-60,NY,White,Woman
149,4/19/2022 8:55:36,10-15 years,Operations Lead,0-1 years,33.65,"$70,000.00","$3,000.00",31-40,NY,White,Man
153,4/19/2022 9:43:12,2-5 years,Specialist,2-5 years,24.0,"$26,000.00",$500.00,21-30,NY,White,Woman
90,4/18/2022 21:16:41,2-5 years,Specialist,2-5 years,23.15,"$24,000","$2,000",31-40,NY,Asian,Man
89,4/18/2022 21:11:03,2-5 years,Creative Pro,2-5 years,31.59,"$37,000","$2,000",21-30,NY,Asian,Woman
87,4/18/2022 21:05:54,10-15 years,Tech and Merchandising Pro,2-5 years,31.9,"68,445","$2,500",31-40,NY,Black or African American,Man
73,4/18/2022 19:40:39,2-5 years,Operations Specialist,2-5 years,24.18,"$20,000.00","$1,500",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
160,4/19/2022 11:04:45,6-10 years,Genius,0-1 years,30.38,"$63,211.00","$3,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
71,4/18/2022 19:32:18,10-15 years,Genius Admin,6-8 years,60.1,"$55,500.00",1000,31-40,NY,I choose not to disclose,I choose not to disclose
163,4/19/2022 11:06:47,6-10 years,Operations Expert,2-5 years,28.44,"$59,143.00",$0.00,31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman
165,4/19/2022 11:12:45,2-5 years,Lead Genius,0-1 years,36.88,"$76,709.00","$3,500.00",31-40,NY,Black or African American,Woman
219,4/20/2022 0:34:55,6-10 years,Manager,0-1 years,41.0,"$90,781.00","$20,000.00",31-40,NY,Black or African American,Man
222,4/20/2022 1:29:20,0-1 years,Operations Specialist,0-1 years,23.0,"$24,000.00","$2,000.00",21-30,NY,Asian,Man
119,4/18/2022 23:42:20,2-5 years,Genius,2-5 years,30.9,"$70,000.00","$2,000.00",21-30,NY,White,Woman
42,4/18/2022 16:29:22,6-10 years,Operations Specialist,6-8 years,22.5,"$41,000.00","1,000",21-30,NY,White,Woman
223,4/20/2022 2:04:51,6-10 years,People Operations Planner,2-5 years,30.52,"$63,460.00","$2,000.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman
249,4/20/2022 14:41:25,6-10 years,Genius,2-5 years,31.2,"$64,885","$2,000",21-30,NY,White,Woman
276,4/20/2022 21:18:35,2-5 years,Creative Pro,2-5 years,30.0,"$63,176","$1,864",31-40,NY,White,Man
25,4/18/2022 15:40:49,2-5 years,Operations Specialist,0-1 years,24.12,"$25,000.00","$3,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
275,4/20/2022 21:12:21,2-5 years,Expert,0-1 years,25.68,"$53,413","$2,500",21-30,NY,Asian,Woman
26,4/18/2022 15:47:11,2-5 years,Technical Specialist,0-1 years,23.55,"$50,000.00","$3,992.00",21-30,NY,Black or African American,Woman
6,4/18/2022 14:24:00,6-10 years,Genius Admin,0-1 years,26.74,"$50,000.00"," $ 1,400.00 ",31-40,NY,American Indian or Alaskan Native,Man
19,4/18/2022 15:17:41,6-10 years,Operations Specialist,2-5 years,24.0,"$49,000.00","$2,000.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
18,4/18/2022 15:06:50,2-5 years,Specialist,2-5 years,24.27,"$50,492.00","$4,806.00",21-30,NY,Black or African American,Woman
271,4/20/2022 20:38:24,2-5 years,Technical Expert,0-1 years,26.57,"$52,000","$1,500",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
259,4/20/2022 17:12:59,2-5 years,Specialist,2-5 years,24.14,"50,205",0,31-40,NY,Black or African American,Woman
260,4/20/2022 17:22:25,2-5 years,Operations Specialist,2-5 years,24.0,"$24,000",0,21-30,NY,White,Man
266,4/20/2022 18:55:29,6-10 years,Genius,2-5 years,30.84,64128,1000,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
20,4/18/2022 15:20:59,2-5 years,Technical Specialist,2-5 years,24.3,"$51,000.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
245,4/20/2022 13:44:12,0-1 years,Technical Specialist,0-1 years,23.0,"$21,000.00",$0.00,31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man
4,4/18/2022 14:22:03,6-10 years,Genius,2-5 years,29.5,"$61,000.00"," $ 1,000.00 ",21-30,NY,White,Man
234,4/20/2022 10:40:53,6-10 years,Genius,2-5 years,28.4,"$59,072.00","$2,000.00",21-30,NY,White,Man
228,4/20/2022 6:00:21,6-10 years,Genius Admin,6-8 years,28.91,"$60,111.00","$4,000.00",31-40,NY,Black or African American,Man
242,4/20/2022 13:19:42,2-5 years,Operations Specialist,0-1 years,23.8,"$29,000.00","$1,500.00",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
3,4/18/2022 14:17:33,6-10 years,Lead Genius,2-5 years,37.0,"$78,000.00"," $ 3,000.00 ",21-30,NY,White,Man
279,4/20/2022 21:57:59,2-5 years,Genius,0-1 years,25.45,"52,000","2,000",41-50,NY,White,Man
241,4/20/2022 13:05:11,2-5 years,Operations Expert,0-1 years,27.8,"$56,790.00","$2,400.00",21-30,NY,Black or African American,Woman
237,4/20/2022 11:42:02,10-15 years,Manager,2-5 years,44.24,"$91,999.00","$20,000.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Woman
30,4/18/2022 15:54:46,2-5 years,Business Pro,0-1 years,31.7,"$68,000.00","$3,000.00",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man
229,4/20/2022 7:26:26,6-10 years,Genius,6-8 years,32.0,"$32,000.00","$3,000.00",31-40,NY,White,Woman
33,4/18/2022 15:59:50,6-10 years,Genius,6-8 years,32.5,"$65,000.00","$2,300.00",31-40,NY,White,Man
27,4/18/2022 15:47:25,10-15 years,Genius,9-11 years,31.25,"$60,000.00","$2,000.00",21-30,NY,White,Man
282,4/20/2022 22:50:42,10-15 years,Pro,0-1 years,32.38,"$67,373",2000,31-40,NY,White,Woman
34,4/18/2022 16:02:17,10-15 years,Operations Specialist,6-8 years,24.04,"$50,000.00",$500.00,41-50,NY,Hispanic or Latino or Spanish Origin of any race,Woman
491,4/24/2022 2:40:53,6-10 years,Genius,0-1 years,25.63,"$53,000","$2,500",21-30,OH,White,Man
527,4/25/2022 22:04:03,10-15 years,Creative Pro,2-5 years,29.98,"$62,000","$2,000",31-40,OH,White,Woman
424,4/22/2022 13:03:05,2-5 years,Lead Genius,2-5 years,33.4,69470,3000,21-30,OH,White,Man
379,4/21/2022 23:48:28,6-10 years,Pro,2-5 years,25.0,52000,"$2,000",21-30,OH,White,Man
173,4/19/2022 12:25:43,2-5 years,Technical Expert,0-1 years,22.8,"$25,000.00","$1,200.00",21-30,OK,Hispanic or Latino or Spanish Origin of any race,Woman
470,4/23/2022 9:25:05,0-1 years,Technical Specialist,0-1 years,20.0,"$41,599",Did not receive. ,21-30,OK,White,Man
66,4/18/2022 18:53:59,6-10 years,Genius,2-5 years,28.1,"$58,000.00","$2,000",21-30,OR,White,Woman
382,4/22/2022 1:33:04,2-5 years,Technical Specialist,2-5 years,21.49,"$22,400","$1,500",21-30,OR,White,Man
395,4/22/2022 9:16:39,2-5 years,Technical Specialist,0-1 years,26.5,"$55,120","$1,500",31-40,OR,White,Man
425,4/22/2022 13:28:07,2-5 years,Operations Specialist,2-5 years,21.03,"$21,871","$1,000",21-30,PA,White,Woman
478,4/23/2022 17:09:07,6-10 years,Manager,6-8 years,45.19,94000,"17,000",31-40,PA,White,Man
314,4/21/2022 9:50:41,6-10 years,Specialist,9-11 years,22.92,"47,470",1500,51-60,PA,White,Woman
396,4/22/2022 9:43:26,2-5 years,Genius Admin,0-1 years,23.8,"38,000",1500,21-30,PA,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming
485,4/23/2022 20:05:56,2-5 years,Genius,2-5 years,26.12,"$54,314",6523,21-30,PA,White,Man
298,4/21/2022 7:11:15,10-15 years,Specialist,6-8 years,22000.0,"~44,000",1500,31-40,RI,White,Man
148,4/19/2022 8:48:09,2-5 years,Operations Expert,0-1 years,24.5,"$50, 960","$2,000.00",31-40,TN,Black or African American,Man
533,4/26/2022 0:40:06,0-1 years,Technical Specialist,0-1 years,20.0,"$22,400",0,21-30,TN,I choose not to disclose,Man
218,4/20/2022 0:06:40,2-5 years,Operations Specialist,2-5 years,21.42,"$44,500.00","$1,500.00",21-30,TN,White,Man
267,4/20/2022 18:57:18,6-10 years,Genius,2-5 years,25.6,55,53.774,31-40,TN,White,Woman
248,4/20/2022 14:33:51,2-5 years,Genius Admin,2-5 years,23.0,48568,1500,21-30,TN,White,Man
261,4/20/2022 17:28:19,6-10 years,Technical Expert,2-5 years,28.0,58240,"$1,500",41-50,TN,White,Man
546,4/26/2022 17:40:46,2-5 years,Operations Specialist,0-1 years,23.0,"$48,000","$3,000",21-30,TX,White,Woman
56,4/18/2022 17:35:49,2-5 years,Specialist,2-5 years,20.55,"$43,000.00","$3,000",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Man
72,4/18/2022 19:39:41,10-15 years,Operations Expert,2-5 years,25.32,"$53,000.00","$2,000",31-40,TX,White,Man
43,4/18/2022 16:29:43,10-15 years,Specialist,12+ years,23.11,$49.00,1800,31-40,TX,White,Man
57,4/18/2022 17:47:25,10-15 years,Genius,9-11 years,31.0,"$63,000.00","$2,000",31-40,TX,Hispanic or Latino or Spanish Origin of any race,Man
459,4/22/2022 22:53:14,2-5 years,Expert,2-5 years,21.65,"$45,000","$2,000",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Woman
10,4/18/2022 14:42:51,6-10 years,Lead,0-1 years,36.8,"$77,000.00"," $ 2,000.00 ",21-30,TX,Black or African American,Man
145,4/19/2022 8:18:29,6-10 years,Pro,2-5 years,28.76,"$59,873.00","$2,500.00",31-40,TX,White,Man
278,4/20/2022 21:41:29,2-5 years,Specialist,2-5 years,23.78,"49,900","$2,000",21-30,TX,Black or African American,Man
235,4/20/2022 10:53:17,2-5 years,Expert,0-1 years,23.38,"$36,472.00","$3,500.00",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Man
180,4/19/2022 13:06:20,6-10 years,Expert,2-5 years,24.9,"$51,928.00","$2,000.00",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Man
178,4/19/2022 12:42:16,2-5 years,Expert,2-5 years,26.04,"$50,000.00","$2,500.00",21-30,TX,White,Woman
118,4/18/2022 23:30:03,10-15 years,Creative Pro,2-5 years,28.01,"$58,600.00","$2,000.00",31-40,TX,White,Woman
448,4/22/2022 19:40:14,2-5 years,Genius Admin,0-1 years,23.05,"$48,000","$1,200",21-30,TX,White,Man
273,4/20/2022 20:54:15,6-10 years,Lead Genius,0-1 years,36.0,"74,880","3,000",31-40,TX,White,Man
366,4/21/2022 21:04:59,2-5 years,Pro,0-1 years,24.62,"52,364",1500,21-30,UT,Hispanic or Latino or Spanish Origin of any race,Woman
364,4/21/2022 21:02:57,6-10 years,Genius,0-1 years,25.5,"$53,000","$3,000",21-30,UT,White,Man
421,4/22/2022 12:26:30,2-5 years,Genius,2-5 years,29.0,59110,Donâ€™t know ,31-40,VA,Black or African American,Man
363,4/21/2022 20:36:49,2-5 years,Operations Specialist,0-1 years,21.25,"$44,200","$1,500",21-30,VA,White,Woman
203,4/19/2022 20:56:20,6-10 years,Lead Genius,2-5 years,33.16,"$69,011.00","$3,500.00",31-40,VA,White,Woman
100,4/18/2022 21:48:02,2-5 years,Technical Expert,2-5 years,24.03,"$24,987.00","$2,000.00",21-30,VA,White,Man
435,4/22/2022 16:13:06,2-5 years,Technical Expert,0-1 years,24.53,"$47,100","$1,500",21-30,VA,Black or African American,Man
412,4/22/2022 11:52:28,2-5 years,Genius Admin,0-1 years,25.38,"$52,788","$1,817.64",21-30,VA,Black or African American,Woman
403,4/22/2022 10:54:24,0-1 years,People Operations Planner,0-1 years,25.5,"$53,049",N/a,21-30,VA,Hispanic or Latino or Spanish Origin of any race,Woman
434,4/22/2022 16:07:16,10-15 years,Genius,6-8 years,29.52,"$61,401","$2,000",31-40,VA,White,Man
406,4/22/2022 11:07:30,10-15 years,Genius,6-8 years,29.34,"61,020 USD","2,000 USD",31-40,VA,Black or African American,Man
79,4/18/2022 20:07:38,2-5 years,Technical Expert,0-1 years,24.85,"$51,700.00",1500,21-30,VA,White,Woman
156,4/19/2022 10:32:12,2-5 years,Genius Admin,2-5 years,25.0,"$26,709.00",$3500 USD,21-30,VA,White,Transgender
493,4/24/2022 12:02:23,0-1 years,Specialist,0-1 years,21.0,N/a,N-a,21-30,VA,Asian,Man
154,4/19/2022 9:57:27,2-5 years,Technical Specialist,2-5 years,23.53,"$46,000.00","$2,000.00",31-40,VA,Asian,Man
277,4/20/2022 21:18:47,6-10 years,Genius Admin,0-1 years,22.48,"$46,763",na,31-40,VA,White,Man
236,4/20/2022 11:31:58,2-5 years,Technical Expert,2-5 years,22.0,"$46,128.00","$2,000.00",21-30,VA,Black or African American,Non-binary / non-conforming
414,4/22/2022 11:56:19,10-15 years,Genius Admin,6-8 years,26.37,"$54,850","$2,300",31-40,VA,Black or African American,Man
415,4/22/2022 12:04:43,6-10 years,Specialist,6-8 years,22.0,Not sure ,1500,31-40,VA,Black or African American,Woman
416,4/22/2022 12:07:13,2-5 years,Technical Expert,0-1 years,25.13,"52,000",2000,21-30,VA,Black or African American,Man
29,4/18/2022 15:54:07,6-10 years,Manager,2-5 years,43.45,"$90,000.00","$11,000.00",21-30,WA,White,Woman
1,4/18/2022 14:04:02,2-5 years,Genius,0-1 years,26.31,"$55,000.00"," $ 2,500.00 ",21-30,WA,Black or African American,Man
12,4/18/2022 14:47:19,6-10 years,Expert,0-1 years,28.84,"$60,000.00"," $ 2,000.00 ",21-30,WA,Hispanic or Latino or Spanish Origin of any race,Woman
16,4/18/2022 15:02:07,6-10 years,Expert,2-5 years,27.69,"$57,000.00","$3,000.00",21-30,WA,White,Woman
13,4/18/2022 14:51:27,6-10 years,Lead Genius,2-5 years,35.0,"$72,800.00","$3,000.00",31-40,WA,Hispanic or Latino or Spanish Origin of any race,Man
11,4/18/2022 14:45:59,6-10 years,Expert,2-5 years,26.2,"$54,000.00"," $ 2,000.00 ",21-30,WA,Hispanic or Latino or Spanish Origin of any race,Woman
557,4/27/2022 6:16:52,6-10 years,Expert,2-5 years,25.32,"$51,000","$2,000",21-30,WA,White,Man
117,4/18/2022 23:25:46,6-10 years,Genius,2-5 years,27.37,"$56,910.00","$2,000.00",21-30,WA,Hispanic or Latino or Spanish Origin of any race,Man
350,4/21/2022 17:58:47,0-1 years,Technical Specialist,0-1 years,21.0,"$21,840",$0,21-30,WA,White,Man
116,4/18/2022 23:11:42,6-10 years,Operations Specialist,2-5 years,20.0,-,-,21-30,WA,I choose not to disclose,I choose not to disclose
132,4/19/2022 1:45:46,6-10 years,Genius,0-1 years,26.61,"$55,339.00","$2,500.00",21-30,WA,White,Man
111,4/18/2022 22:31:32,2-5 years,Technical Expert,0-1 years,23.3,"$21,000.00",Not sure ,21-30,WA,Asian,Woman
133,4/19/2022 1:50:20,2-5 years,Genius,2-5 years,28.0,"$57,000.00","$2,500.00",21-30,WA,White,Man
442,4/22/2022 18:38:34,2-5 years,Genius,2-5 years,27.71,"57,700",?,31-40,WA,White,Man
441,4/22/2022 18:04:06,2-5 years,Genius,0-1 years,27.5,"$57,000~","$2,000",21-30,WA,White,Woman
109,4/18/2022 22:24:16,2-5 years,Genius Admin,2-5 years,26.05,"$54,000.00","$1,500.00",21-30,WA,White,Man
134,4/19/2022 1:55:16,2-5 years,Genius,0-1 years,28.08,-,-,21-30,WA,Hispanic or Latino or Spanish Origin of any race,Man
463,4/23/2022 0:26:03,2-5 years,Technical Expert,2-5 years,23.73,23.73,"30,000",21-30,WA,Hispanic or Latino or Spanish Origin of any race,Woman
466,4/23/2022 2:58:08,2-5 years,Expert,0-1 years,24.22,"$50,373","$1,500",21-30,WA,Asian,Man
101,4/18/2022 21:48:13,6-10 years,Genius,2-5 years,27.63,"$57,500.00","$2,000.00",21-30,WA,White,Man
136,4/19/2022 2:21:41,10-15 years,Senior Manager,0-1 years,52.09,"$108,347 + $75,000 in OT","$40,000.00",-,WA,I choose not to disclose,I choose not to disclose
394,4/22/2022 9:05:29,2-5 years,Pro,0-1 years,29.17,"60,675","$1,500",41-50,WA,White,Woman
47,4/18/2022 16:53:36,2-5 years,Genius,2-5 years,25.5,"$56,000.00",Unknown,21-30,WA,White,Man
209,4/19/2022 22:44:34,6-10 years,Expert,2-5 years,23.57,"$48,500.00","$2,000.00",21-30,WA,White,Man
476,4/23/2022 15:39:45,2-5 years,Technical Expert,2-5 years,25.74,"48,000",3000,21-30,WA,White,Man
74,4/18/2022 19:45:43,2-5 years,People Operations Planner,2-5 years,25.73,"$48,000.00","2,000",21-30,WA,Hispanic or Latino or Spanish Origin of any race,Woman
175,4/19/2022 12:37:42,6-10 years,Genius,2-5 years,28.8,"$58,000.00","$2,500.00",31-40,WA,I choose not to disclose,I choose not to disclose
80,4/18/2022 20:22:03,2-5 years,Specialist,2-5 years,22.5,"$30,000",$500,21-30,WA,White,Man
411,4/22/2022 11:50:16,2-5 years,Genius Admin,2-5 years,22.0,"$36,000",2000,21-30,WI,White,Woman
107,4/18/2022 22:19:22,6-10 years,Genius,2-5 years,22.15,"$46,000.00",-,21-30,WI,White,Man
413,4/22/2022 11:55:35,6-10 years,Technical Specialist,2-5 years,24.0,49976,3500,31-40,WI,I choose not to disclose,I choose not to disclose
528,4/25/2022 22:04:20,2-5 years,Expert,2-5 years,23.09,48000,2000,31-40,WI,White,Man
128,4/19/2022 1:07:27,6-10 years,Genius,2-5 years,26.99,"$58,240.00","$5,000.00",21-30,WI,Hispanic or Latino or Spanish Origin of any race,Transgender
530,4/25/2022 22:45:20,2-5 years,Specialist,2-5 years,20.0,"$21,500","$1,647",21-30,WI,White,Woman
480,4/23/2022 18:16:56,10-15 years,Technical Expert,2-5 years,27.0,"$56,000","$2,000",31-40,WI,White,Man
